campaign.resourceName,campaign.name,adGroup.resourceName,adGroup.name,metrics.clicks,metrics.conversions,metrics.ctr,metrics.impressions,adGroupAd.resourceName,adGroupAd.ad.resourceName,adGroupAd.ad.id,asset.resourceName,asset.textAsset.text,asset.id,adGroupAdAssetView.resourceName,adGroupAdAssetView.fieldType,adGroupAdAssetView.performanceLabel,asset.name,utm_campaign_norm,roi_priority_weight
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,9,0,0.04864864864864865,185,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/340618554179,"Thousands of STR owners use Hostfully to automate, save time, increase revenue.",340618554179,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~340618554179~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,29,1.25,0.16201117318435754,179,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/297834518145,"Thousands of vacation rental owners use Hostfully to automate, save time, increase revenue",297834518145,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~297834518145~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,81,3,0.4764705882352941,170,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/336420256852,"""Fast, Modern Vacation Rental Software with Outstanding Customer Support.""",336420256852,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~336420256852~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,50,2,0.3048780487804878,164,customers/2565189582/adGroupAds/175488384442~778278987755,customers/2565189582/ads/778278987755,778278987755,customers/2565189582/assets/242415980319,Property Management Made Easy,242415980319,customers/2565189582/adGroupAdAssetViews/175488384442~778278987755~242415980319~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,72,1,0.44171779141104295,163,customers/2565189582/adGroupAds/175488384442~730292443612,customers/2565189582/ads/730292443612,730292443612,customers/2565189582/assets/326919619542,Maximize revenue and simplify your short-term rental management with Hostfully PMS.,326919619542,customers/2565189582/adGroupAdAssetViews/175488384442~730292443612~326919619542~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,34,1.25,0.21656050955414013,157,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/177862501842,Hostfully Property Management,177862501842,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~177862501842~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810883,au-uk_brand_phrase,25,0,0.17006802721088435,147,customers/2565189582/adGroupAds/193560810883~799258748291,customers/2565189582/ads/799258748291,799258748291,customers/2565189582/assets/1476017562,Hostfully,1476017562,customers/2565189582/adGroupAdAssetViews/193560810883~799258748291~1476017562~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,71,3,0.4863013698630137,146,customers/2565189582/adGroupAds/175488384442~798879432661,customers/2565189582/ads/798879432661,798879432661,customers/2565189582/assets/1476017562,Hostfully,1476017562,customers/2565189582/adGroupAdAssetViews/175488384442~798879432661~1476017562~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810923,au-uk_brand_exact,47,4,0.32867132867132864,143,customers/2565189582/adGroupAds/193560810923~799149197700,customers/2565189582/ads/799149197700,799149197700,customers/2565189582/assets/337426327258,Choose the holiday letting software that gives you the most flexibility at the best price.,337426327258,customers/2565189582/adGroupAdAssetViews/193560810923~799149197700~337426327258~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,4,0,0.028169014084507043,142,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/305748566457,120+ Software Integrations,305748566457,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~305748566457~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810923,au-uk_brand_exact,19,0,0.1357142857142857,140,customers/2565189582/adGroupAds/193560810923~799149197700,customers/2565189582/ads/799149197700,799149197700,customers/2565189582/assets/297834518124,Book A Free Demo Today,297834518124,customers/2565189582/adGroupAdAssetViews/193560810923~799149197700~297834518124~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
