campaign_id,platform,platform_campaign_id,current_daily_budget,spend_mtd,leads_mtd,clicks_mtd,impressions_mtd,is_live,campaign_budget_id
ToFu - Post Engagement,meta,6258185517668,0.0,0.0,0.0,0.0,0.0,False,
Tofu - Conversions - Website Leads Tech Calculator,meta,6253559032268,0.0,0.0,0.0,0.0,0.0,False,
ToFu - Traffic,meta,6252255679468,0.0,0.0,0.0,0.0,0.0,False,
ToFu - Brand Aware,meta,6250756099068,0.0,0.0,0.0,0.0,0.0,False,
ToFu - Conversions - Prospecting - Demo Request,meta,6248248373068,0.0,0.0,0.0,0.0,0.0,False,
MoFu - Conversions - Retargeting - Demo Request,meta,6247997194868,0.0,0.0,0.0,0.0,0.0,False,
Conversions - Website Visitor Retargeting,meta,6247682440468,10.0,0.0,0.0,0.0,0.0,False,
ToFu-Conversions - Prospecting - Demo Request - CBO,meta,6226466383468,30.0,0.0,0.0,0.0,0.0,False,
ToFu - Lead Ads - Prospecting - Guidebooks - CBO,meta,6214944772468,30.0,0.0,0.0,0.0,0.0,False,
Conversions - Retargeting - Guidebooks - CBO,meta,6205186434868,15.0,0.0,0.0,0.0,0.0,False,
Conversions - Prospecting - Guidebooks - CBO,meta,6203763750268,15.0,0.0,0.0,0.0,0.0,False,
Lead Ads - Prospecting - Ebooks - CBO,meta,6199395393268,10.0,0.0,0.0,0.0,0.0,False,
Conversions - Prospecting - Outgrow Lead Magnets - CBO,meta,6199123097268,40.0,0.0,0.0,0.0,0.0,False,
Conversions - Ebooks,meta,6186726356468,0.0,0.0,0.0,0.0,0.0,False,
Conversions - Outgrow Lead Magnets,meta,6182618556668,0.0,0.0,0.0,0.0,0.0,False,
Conversions - PMP,meta,6182612800468,0.0,0.0,0.0,0.0,0.0,False,
Introducing the Guidebook ROI Calculator,meta,6162445157668,10.0,0.0,0.0,0.0,0.0,False,
Amenities and services vacation rental guests will pay more for [2019 data],meta,6162437752868,10.0,0.0,0.0,0.0,0.0,False,
Increase revenue with Hostfully Guidebooks Marketplace - Blog,meta,6162429272068,10.0,0.0,0.0,0.0,0.0,False,
Taxes on vacation rental properties: PMP Blog,meta,6161959464868,10.0,0.0,0.0,0.0,0.0,False,
Get a bird’s eye view of all your guest bookings in one place.,meta,6160256109868,20.0,0.0,0.0,0.0,0.0,False,
PMP Blog - Award Winning Platform,meta,6159623321868,20.0,0.0,0.0,0.0,0.0,False,
What is a Property Management Software?,meta,6159030568068,20.0,0.0,0.0,0.0,0.0,False,
Process Remarketing - Step 1 (product intro simple),meta,6157694207868,20.0,0.0,0.0,0.0,0.0,False,
"""What Info Goes Inside My Guidebook"" - optimizemybnb article",meta,6156314061068,20.0,0.0,0.0,0.0,0.0,False,
process retargeting step 3 - $7.99 Offer,meta,6155175472668,20.0,0.0,0.0,0.0,0.0,False,
Over 1M Guidebook Views!,meta,6153213376268,20.0,0.0,0.0,0.0,0.0,False,
Process Remarketing Step 2 (product validation),meta,6152519117868,20.0,0.0,0.0,0.0,0.0,False,
Dec Comic - New Audience,meta,6151793803468,20.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - RT 12/19,meta,6149871194268,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - RT 12/10,meta,6148056198668,0.0,0.0,0.0,0.0,0.0,False,
Guidebooks Video - Retargeting,meta,6146575558268,0.0,0.0,0.0,0.0,0.0,False,
Nick Halverson Story,meta,6143930655468,30.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Website Retargeting past 180 days - UPDATED 11/18,meta,6143681434068,0.0,0.0,0.0,0.0,0.0,False,
Are You an Airbnb Host or Property Renter - FB page targeting UPDATED 11/18,meta,6143680245868,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Airbnb Interest Audience,meta,6141330419868,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - New Audience,meta,6140401726068,0.0,0.0,0.0,0.0,0.0,False,
Short term rental property management: will it work for you?,meta,6139986658268,0.0,0.0,0.0,0.0,0.0,False,
VRMA 2019 Success!,meta,6139170321068,0.0,0.0,0.0,0.0,0.0,False,
Guidebooks improve guest experience - Remarketing,meta,6138813631668,0.0,0.0,0.0,0.0,0.0,False,
True Things Guests Say Comic #1,meta,6138519724268,0.0,0.0,0.0,0.0,0.0,False,
Are You an Airbnb Host or Property Renter - FB page targeting,meta,6138118510868,0.0,0.0,0.0,0.0,0.0,False,
The Digital Guidebook - How To Create a 5 Star Experience,meta,6137620982468,0.0,0.0,0.0,0.0,0.0,False,
Increase your Airbnb Host Rating by creating an exceptional experience,meta,6137320053068,0.0,0.0,0.0,0.0,0.0,False,
The 4 key things to look for in a Property Management Software,meta,6137020681668,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Website Retargeting past 180 days,meta,6136451175868,0.0,0.0,0.0,0.0,0.0,False,
Power Host LP - Paid Focus,meta,6135619995068,0.0,0.0,0.0,0.0,0.0,False,
Award Winning Vacation Rental Platform,meta,6134809540668,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Anti-Free Version,meta,6134488484868,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Anti-Free Version,meta,6134394579868,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks - Anti-Free Version,meta,6134392824268,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Are you an Airbnb host or Property Renter? Create..."" 4th Run",meta,6133884597868,0.0,0.0,0.0,0.0,0.0,False,
What is a Guidebook,meta,6132979803868,0.0,0.0,0.0,0.0,0.0,False,
Customize Digital Guidebooks,meta,6132167144068,0.0,0.0,0.0,0.0,0.0,False,
Hostfully Guest Book,meta,6131751371468,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Are you an Airbnb host or Property Renter? Create..."" 3rd RUN",meta,6131236133868,0.0,0.0,0.0,0.0,0.0,False,
"Website Retargeting: ""Are you an Airbnb host or Property Renter? Create...""",meta,6130684444068,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""So... exactly what impact would a guidebook...""",meta,6130573831668,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""We are very honored to receive the Keystone Award..."" - Copy",meta,6129983167868,0.0,0.0,0.0,0.0,0.0,False,
Hassle-Free Computer Protection,meta,6129669779868,0.0,0.0,0.0,0.0,0.0,False,
Create Beautiful Guidebooks 1,meta,6129563186868,0.0,0.0,0.0,0.0,0.0,False,
Create Beautiful Guidebooks 1,meta,6129561596268,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Are you an Airbnb host or Property Renter? Create..."" 2nd RUN",meta,6129357333068,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""We are very honored to receive the Keystone Award...""",meta,6128114863668,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Are you an Airbnb host or Property Renter? Create...""",meta,6127333171868,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Are you an Airbnb host or Property Renter? Create...""",meta,6125391662868,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Homecooked meals will be available for...""",meta,6118464417868,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Introducing ParkOut - Peer to Peer Parking! A...""",meta,6111682865068,0.0,0.0,0.0,0.0,0.0,False,
TooLow Meal Plan,meta,6099341400468,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Slice of cheese pizza is 2 cents on TooLow app!...""",meta,6070320105468,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Toolow app added a new photo.""",meta,6068117587268,0.0,0.0,0.0,0.0,0.0,False,
Event: TOOLOW Ends Poverty,meta,6059806962668,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Get a FREE HAIRCUT in Oakland using TOOLOW app....""",meta,6052867479468,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Join our Ambassador Program and become a TOOLOW...""",meta,6052470450668,0.0,0.0,0.0,0.0,0.0,False,
[07/07/2016] Promoting Install App,meta,6051363186068,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Toolow app added a new photo.""",meta,6051174272468,0.0,0.0,0.0,0.0,0.0,False,
Event: Launch Party,meta,6050983147268,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Toolow app added a new photo.""",meta,6050855826868,0.0,0.0,0.0,0.0,0.0,False,
"Post: ""Toolow app added a new photo.""",meta,6050855790868,0.0,0.0,0.0,0.0,0.0,False,
Hostully.com Main Ad,google,954099488,30.0,0.0,0.0,0.0,0.0,False,1235439537
Hostfully - improve guest experience,google,7889186146,15.0,0.0,0.0,0.0,0.0,False,6591704374
Property Management Platform,google,8054528550,33.0,0.0,0.0,0.0,0.0,False,6603574777
All-In-One Property Management,google,8134522687,30.0,0.0,0.0,0.0,0.0,False,6617459880
PMS - UK Search,google,21715015174,100.0,0.0,0.0,0.0,0.0,False,13927022286
PMS - US/CAN Pmax,google,21747892256,900.0,0.0,0.0,0.0,0.0,False,13946952452
Competitor Bidding,google,21872600798,28.0,0.0,0.0,0.0,0.0,False,14039689361
Hostfully - Search - Brand - US/CAN,google,22161538996,750.0,5484.404124,16.0,742.0,1820.0,False,14258138804
PMS - Spain Search,google,22621317252,360.0,0.0,0.0,0.0,0.0,False,14618007546
Devices - US/CAN,google,22640051719,360.0,0.0,0.0,0.0,0.0,False,14632134943
Hostfully - Search - PMS - US/CAN,google,22681892625,600.0,0.0,0.0,0.0,0.0,False,14673854116
Hostfully - Search - Guidebooks - US/CAN,google,22863728395,133.0,0.0,0.0,0.0,0.0,False,14811020574
PMS - Mexico Search,google,22863889636,360.0,0.0,0.0,0.0,0.0,False,14817610768
E-Book | 1 to 20 Properties | US/CAN,google,22871642382,1000.0,0.0,0.0,0.0,0.0,False,14831757562
Webinar | Pricing Power | US/CAN,google,22874197113,1000.0,0.0,0.0,0.0,0.0,False,14821482176
E-Book | Software Ecosystem | US/CAN,google,22881436282,1000.0,0.0,0.0,0.0,0.0,False,14831810860
Hostfully - Search - PMS - Mexico,google,22915284646,725.0,0.0,0.0,0.0,0.0,False,14847183281
Hostfully - Search - Competitors - US/CAN,google,23095743975,0.01,0.0,0.0,0.0,0.0,False,15003470563
Hostfully - Search - TOF - EBook - US/CAN,google,23095743978,100.0,0.0,0.0,0.0,0.0,False,15003470566
[Rede de Display] | hostfully | pt-br,google,23139103905,3.0,74.303673,0.652052,193.0,14964.0,False,15031215779
[Rede de Pesquisa] | hostfully | pt-br,google,23144283317,16.0,374.357837,2.0,231.0,3139.0,False,15031175180
Hostfully - Search - PMS Only - US/CAN,google,23416652149,830.0,0.0,0.0,0.0,0.0,False,15258280683
Hostfully - Search - PMS - US/CAN (utm test),google,23599482666,600.0,0.0,0.0,0.0,0.0,False,15402191932
Search - Concurrents - FR,google,23609646225,10.0,0.0,0.0,0.0,0.0,False,15409226827
Search - Brand - FR,google,23615139761,5.0,0.0,0.0,0.0,0.0,False,15399448952
