campaign_id,campaign_name,platform,monthly_budget,planned_start_date,planned_end_date,priority_tier,target_kpi_value,platform_campaign_id,platform_campaign_name,current_daily_budget,spend_mtd,leads_mtd,is_live,monthly_budget_playbook,redistribution_received,monthly_budget_effective,forecast_month_spend,pacing_delta_campaign,cpl_mtd,performance_score,performance_bucket,allocation_delta_daily,recommended_daily_budget,note,recommended_daily_budget_capped,daily_budget_delta
ca-us_pms_prospecting_website-conv,CA+US PMS Prospecting (LAL A/B),meta,16455.223880597016,2026-03-01,2026-03-31,A,45,6954321351868,ca-us_pms_prospecting_website-conv,1200.0,13166.42,30.0,True,14000.0,2455.2238805970146,16455.223880597016,23966.42,-7511.196119402983,438.8806666666667,0.10253356645162466,poor,-7191.231634889602,-5991.231634889602,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.10). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",840.0,-360.0
ca-us_pms_retargeting_website-conv,CA+US PMS Retargeting (30d visitors),meta,6229.477611940299,2026-03-01,2026-03-31,A,45,6954323673468,ca-us_pms_retargeting_website-conv,80.0,1249.18,7.0,True,5300.0,929.4776119402984,6229.477611940299,1969.18,4260.297611940298,178.45428571428573,0.2521654205158584,poor,-1188.9520571756782,-1108.9520571756782,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.25). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",56.0,-24.0
uk-au_pms_prospecting_website-conv,UK+AU PMS Prospecting,meta,6464.55223880597,2026-03-01,2026-03-31,A,45,6954326744668,au-uk_pms_prospecting_website-conv,450.0,4578.07,2.0,True,5500.0,964.5522388059702,6464.55223880597,8628.07,-2163.51776119403,2289.035,0.1,poor,-7560.236921287039,-7110.236921287039,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.10). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",315.0,-135.0
uk-au_pms_retargeting_website-conv,UK+AU PMS Retargeting (30d visitors),meta,2350.7462686567164,2026-03-01,2026-03-31,B,55,6954326449668,au-uk_pms_retargeting_website-conv,40.0,570.83,3.0,True,2000.0,350.7462686567164,2350.7462686567164,930.83,1419.9162686567165,190.27666666666667,0.2890527827899725,poor,-904.8593866476754,-864.8593866476754,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.29). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",28.0,-12.0
ca-us_pms_pmax,CA+US PMS Performance Max,google,13062.5,2026-03-01,2026-03-31,A,120,23619267350,ca-us_pms_pmax,1300.0,5371.821207,6.0,True,11000.0,2062.5,13062.5,17071.821207,-4009.321207000001,895.3035345,0.13403275579272272,poor,-3865.803851019022,-2565.803851019022,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.13). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",909.9999999999999,-390.0000000000001
uk-au_brand_search,UK+AU Brand Search,google,2375.0,2026-03-01,2026-03-31,A,150,23619221250,au-uk_brand_search,90.91,956.834413,5.0,True,2000.0,375.0,2375.0,1775.024413,599.9755869999999,191.3668826,0.7838346842569092,poor,-113.0349521262686,-22.12495212626861,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.78). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",63.63699999999999,-27.273000000000003
uk-au_pms_pmax,UK+AU PMS Performance Max,google,7125.0,2026-03-01,2026-03-31,A,120,23619357777,au-uk_pms_pmax,472.72,1866.529521,1.0,True,6000.0,1125.0,7125.0,6121.009521,1003.990479,1866.529521,0.1,poor,-6944.83142585471,-6472.1114258547095,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.10). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",330.904,-141.81600000000003
